word,total_error_percentage
left,0.020640308228602883
stayed,0.020640308228602883
feel,0.020640308228602883
fuel,0.020640308228602883
fire,0.020640308228602883
straight,0.020640308228602883
gr,0.020640308228602883
god,0.020640308228602883
half,0.020640308228602883
head,0.020640308228602883
needed,0.020640308228602883
wrapped,0.020640308228602883
leads,0.020640308228602883
level,0.020640308228602883
liquid,0.020640308228602883
looked,0.020640308228602883
love,0.020640308228602883
means,0.020640308228602883
picks,0.020640308228602883
motor,0.020640308228602883
pendulum,0.020640308228602883
sticking,0.020640308228602883
probably,0.020640308228602883
produce,0.020640308228602883
reactant,0.020640308228602883
rivets,0.020640308228602883
rule,0.020640308228602883
stand,0.020640308228602883
swing,0.020640308228602883
test,0.020640308228602883
tried,0.020640308228602883
turning,0.020640308228602883
umm,0.020640308228602883
weighing,0.020640308228602883
wax,0.020640308228602883
read,0.020640308228602883
flags,0.018346940647647005
plain,0.018346940647647005
ricky,0.018346940647647005
tip,0.018346940647647005
flour,0.018346940647647005
counter,0.018346940647647005
acid,0.018346940647647005
attracting,0.018346940647647005
bolt,0.018346940647647005
base,0.018346940647647005
learning,0.018346940647647005
stack,0.018346940647647005
cool,0.018346940647647005
door,0.018346940647647005
elec,0.018346940647647005
flew,0.018346940647647005
hard,0.018346940647647005
sleep,0.018346940647647005
north,0.018346940647647005
note,0.018346940647647005
se,0.018346940647647005
wing,0.018346940647647005
pen,0.018346940647647005
penny,0.018346940647647005
running,0.018346940647647005
showing,0.018346940647647005
steel,0.018346940647647005
thought,0.018346940647647005
variable,0.018346940647647005
pa,0.018346940647647005
aid,0.01605357306669113
saturate,0.01605357306669113
thick,0.01605357306669113
skin,0.01605357306669113
animals,0.01605357306669113
apple,0.01605357306669113
block,0.01605357306669113
board,0.01605357306669113
car,0.01605357306669113
teacher,0.01605357306669113
chemicals,0.01605357306669113
collects,0.01605357306669113
con,0.01605357306669113
corner,0.01605357306669113
create,0.01605357306669113
dark,0.01605357306669113
dim,0.01605357306669113
drop,0.01605357306669113
eats,0.01605357306669113
electric,0.01605357306669113
ell,0.01605357306669113
et,0.01605357306669113
exact,0.01605357306669113
girl,0.01605357306669113
helps,0.01605357306669113
ho,0.01605357306669113
allowing,0.01605357306669113
times,0.01605357306669113
lay,0.01605357306669113
lots,0.01605357306669113
magnetite,0.01605357306669113
man,0.01605357306669113
meant,0.01605357306669113
mirrors,0.01605357306669113
putting,0.01605357306669113
red,0.01605357306669113
room,0.01605357306669113
switched,0.01605357306669113
syringe,0.01605357306669113
thermometer,0.01605357306669113
pretty,0.01605357306669113
collate,0.013760205485735253
answers,0.013760205485735253
backyard,0.013760205485735253
bec,0.013760205485735253
brighter,0.013760205485735253
ciruit,0.013760205485735253
couldn,0.013760205485735253
minecraft,0.013760205485735253
critic,0.013760205485735253
cups,0.013760205485735253
decomposer,0.013760205485735253
decomposers,0.013760205485735253
donald,0.013760205485735253
dow,0.013760205485735253
fiveish,0.013760205485735253
ish,0.013760205485735253
friend,0.013760205485735253
girlfriend,0.013760205485735253
filled,0.013760205485735253
heighth,0.013760205485735253
hydrochloric,0.013760205485735253
marty,0.013760205485735253
measurer,0.013760205485735253
metals,0.013760205485735253
mether,0.013760205485735253
moving,0.013760205485735253
mandems,0.013760205485735253
opposites,0.013760205485735253
opposite,0.013760205485735253
similar,0.013760205485735253
passenger,0.013760205485735253
petri,0.013760205485735253
petrie,0.013760205485735253
point,0.013760205485735253
powers,0.013760205485735253
recieves,0.013760205485735253
saltwater,0.013760205485735253
saturated,0.013760205485735253
sealing,0.013760205485735253
ceiling,0.013760205485735253
self,0.013760205485735253
sliding,0.013760205485735253
spacers,0.013760205485735253
spacer,0.013760205485735253
store,0.013760205485735253
symbols,0.013760205485735253
tackle,0.013760205485735253
talked,0.013760205485735253
tells,0.013760205485735253
tipped,0.013760205485735253
twists,0.013760205485735253
twist,0.013760205485735253
upto,0.013760205485735253
vial,0.013760205485735253
file,0.013760205485735253
wannna,0.013760205485735253
wor,0.013760205485735253
worked,0.013760205485735253
wrecking,0.013760205485735253
low,0.013760205485735253
sorta,0.013760205485735253
acts,0.013760205485735253
affect,0.013760205485735253
year,0.013760205485735253
losing,0.013760205485735253
present,0.013760205485735253
animal,0.013760205485735253
apples,0.013760205485735253
attach,0.013760205485735253
track,0.013760205485735253
attracted,0.013760205485735253
awesome,0.013760205485735253
barrel,0.013760205485735253
basic,0.013760205485735253
bat,0.013760205485735253
becau,0.013760205485735253
mail,0.013760205485735253
blow,0.013760205485735253
blocks,0.013760205485735253
branch,0.013760205485735253
breaks,0.013760205485735253
catch,0.013760205485735253
meters,0.013760205485735253
saw,0.013760205485735253
changes,0.013760205485735253
check,0.013760205485735253
checking,0.013760205485735253
code,0.013760205485735253
colored,0.013760205485735253
consider,0.013760205485735253
clockwise,0.013760205485735253
pile,0.013760205485735253
definitely,0.013760205485735253
independent,0.013760205485735253
difference,0.013760205485735253
south,0.013760205485735253
dog,0.013760205485735253
dropped,0.013760205485735253
renewable,0.013760205485735253
electriciy,0.013760205485735253
enable,0.013760205485735253
open,0.013760205485735253
evaporate,0.013760205485735253
replace,0.013760205485735253
finish,0.013760205485735253
flame,0.013760205485735253
throwing,0.013760205485735253
follow,0.013760205485735253
forth,0.013760205485735253
forces,0.013760205485735253
forms,0.013760205485735253
ge,0.013760205485735253
generator,0.013760205485735253
hotter,0.013760205485735253
panels,0.013760205485735253
giant,0.013760205485735253
glass,0.013760205485735253
glow,0.013760205485735253
grown,0.013760205485735253
happens,0.013760205485735253
harder,0.013760205485735253
helped,0.013760205485735253
hear,0.013760205485735253
higher,0.013760205485735253
hurt,0.013760205485735253
humans,0.013760205485735253
eye,0.013760205485735253
touches,0.013760205485735253
split,0.013760205485735253
tested,0.013760205485735253
jaden,0.013760205485735253
job,0.013760205485735253
skunk,0.013760205485735253
knowing,0.013760205485735253
knows,0.013760205485735253
late,0.013760205485735253
later,0.013760205485735253
layer,0.013760205485735253
leave,0.013760205485735253
lightest,0.013760205485735253
relates,0.013760205485735253
liter,0.013760205485735253
lo,0.013760205485735253
lose,0.013760205485735253
sorry,0.013760205485735253
vein,0.013760205485735253
measurement,0.013760205485735253
meet,0.013760205485735253
meter,0.013760205485735253
milliliter,0.013760205485735253
minus,0.013760205485735253
mixing,0.013760205485735253
motors,0.013760205485735253
mountain,0.013760205485735253
removed,0.013760205485735253
miss,0.013760205485735253
negati,0.013760205485735253
neck,0.013760205485735253
positive,0.013760205485735253
nose,0.013760205485735253
node,0.013760205485735253
